id,concept_id,concept_name,concept_type,period_type,balance_type,abstract,substitution_group
1065,us-gaap_AOCIAttributableToParentNetOfTaxRollForward,AOCIAttributableToParentNetOfTaxRollForward,xbrli:stringItemType,duration,,1,xbrli:item
1066,us-gaap_AOCIIncludingPortionAttributableToNoncontrollingInterestAbstract,AOCIIncludingPortionAttributableToNoncontrollingInterestAbstract,xbrli:stringItemType,duration,,1,xbrli:item
1067,us-gaap_ASU201501TransitionAbstract,ASU201501TransitionAbstract,xbrli:stringItemType,duration,,1,xbrli:item
1068,us-gaap_ASU201517TransitionAbstract,ASU201517TransitionAbstract,xbrli:stringItemType,duration,,1,xbrli:item
1069,us-gaap_ASU201602TransitionAbstract,ASU201602TransitionAbstract,xbrli:stringItemType,duration,,1,xbrli:item
1070,us-gaap_ASU201807TransitionAbstract,ASU201807TransitionAbstract,xbrli:stringItemType,duration,,1,xbrli:item
1071,us-gaap_AboveMarketLeasesMember,AboveMarketLeasesMember,nonnum:domainItemType,duration,,1,xbrli:item
1072,us-gaap_AcceleratedShareRepurchaseProgramAdjustment,AcceleratedShareRepurchaseProgramAdjustment,xbrli:monetaryItemType,duration,credit,0,xbrli:item
1073,us-gaap_AcceleratedShareRepurchasesAdjustmentToRecordedAmount,AcceleratedShareRepurchasesAdjustmentToRecordedAmount,xbrli:monetaryItemType,duration,debit,0,xbrli:item
1074,us-gaap_AcceleratedShareRepurchasesCashOrStockSettlement,AcceleratedShareRepurchasesCashOrStockSettlement,xbrli:stringItemType,duration,,0,xbrli:item
1075,us-gaap_AcceleratedShareRepurchasesDateAxis,AcceleratedShareRepurchasesDateAxis,xbrli:stringItemType,duration,,1,xbrldt:dimensionItem
1076,us-gaap_AcceleratedShareRepurchasesDateDomain,AcceleratedShareRepurchasesDateDomain,nonnum:domainItemType,duration,,1,xbrli:item
1077,us-gaap_AcceleratedShareRepurchasesFinalPricePaidPerShare,AcceleratedShareRepurchasesFinalPricePaidPerShare,num:perShareItemType,duration,,0,xbrli:item
1078,us-gaap_AcceleratedShareRepurchasesInitialPricePaidPerShare,AcceleratedShareRepurchasesInitialPricePaidPerShare,num:perShareItemType,duration,,0,xbrli:item
1079,us-gaap_AcceleratedShareRepurchasesLineItems,AcceleratedShareRepurchasesLineItems,xbrli:stringItemType,duration,,1,xbrli:item
